DATA_REF;Visao;Modalidade;Porte;Beneficiarios_Ativos
2025-06;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Médio;842965
2025-06;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Pequeno;492854
2025-06;Médico-Hospitalar;AUTOGESTÃO;Grande;3006896
2025-06;Médico-Hospitalar;AUTOGESTÃO;Médio;975592
2025-06;Médico-Hospitalar;AUTOGESTÃO;Pequeno;577619
2025-06;Médico-Hospitalar;COOPERATIVA MÉDICA;Grande;12899773
2025-06;Médico-Hospitalar;COOPERATIVA MÉDICA;Médio;4942370
2025-06;Médico-Hospitalar;COOPERATIVA MÉDICA;Pequeno;1013512
2025-06;Médico-Hospitalar;FILANTROPIA;Grande;369596
2025-06;Médico-Hospitalar;FILANTROPIA;Médio;535901
2025-06;Médico-Hospitalar;FILANTROPIA;Pequeno;177118
2025-06;Médico-Hospitalar;MEDICINA DE GRUPO;Grande;16812346
2025-06;Médico-Hospitalar;MEDICINA DE GRUPO;Médio;3203316
2025-06;Médico-Hospitalar;MEDICINA DE GRUPO;Pequeno;911543
2025-06;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Grande;6925044
2025-06;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Médio;30389
2025-06;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Pequeno;7430
2025-07;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Grande;2767046
2025-07;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Médio;1271953
2025-07;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Pequeno;424033
2025-07;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Grande;13905102
2025-07;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Médio;848378
2025-07;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Pequeno;494871
2025-07;Médico-Hospitalar;AUTOGESTÃO;Grande;3009366
2025-07;Médico-Hospitalar;AUTOGESTÃO;Médio;978535
2025-07;Médico-Hospitalar;AUTOGESTÃO;Pequeno;583256
2025-07;Médico-Hospitalar;COOPERATIVA MÉDICA;Grande;12733084
2025-07;Médico-Hospitalar;COOPERATIVA MÉDICA;Médio;5104157
2025-07;Médico-Hospitalar;COOPERATIVA MÉDICA;Pequeno;1027683
2025-07;Médico-Hospitalar;FILANTROPIA;Grande;376015
2025-07;Médico-Hospitalar;FILANTROPIA;Médio;529902
2025-07;Médico-Hospitalar;FILANTROPIA;Pequeno;174980
2025-07;Médico-Hospitalar;MEDICINA DE GRUPO;Grande;16704551
2025-07;Médico-Hospitalar;MEDICINA DE GRUPO;Médio;3071240
2025-07;Médico-Hospitalar;MEDICINA DE GRUPO;Pequeno;928144
2025-07;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Grande;6801221
2025-07;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Médio;33640
2025-07;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Pequeno;7534
2025-08;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Grande;2868038
2025-08;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Médio;1300319
2025-08;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Pequeno;426339
2025-08;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Grande;13296517
2025-08;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Médio;785881
2025-08;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Pequeno;464818
2025-08;Médico-Hospitalar;AUTOGESTÃO;Grande;3007934
2025-08;Médico-Hospitalar;AUTOGESTÃO;Médio;968490
2025-08;Médico-Hospitalar;AUTOGESTÃO;Pequeno;576113
2025-08;Médico-Hospitalar;COOPERATIVA MÉDICA;Grande;12932384
2025-08;Médico-Hospitalar;COOPERATIVA MÉDICA;Médio;4865521
2025-08;Médico-Hospitalar;COOPERATIVA MÉDICA;Pequeno;1054746
2025-08;Médico-Hospitalar;FILANTROPIA;Grande;365085
2025-08;Médico-Hospitalar;FILANTROPIA;Médio;540261
2025-08;Médico-Hospitalar;FILANTROPIA;Pequeno;178582
2025-08;Médico-Hospitalar;MEDICINA DE GRUPO;Grande;16782365
2025-08;Médico-Hospitalar;MEDICINA DE GRUPO;Médio;3349681
2025-08;Médico-Hospitalar;MEDICINA DE GRUPO;Pequeno;904119
2025-08;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Grande;7003306
2025-08;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Médio;0
2025-08;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Pequeno;7347
2025-09;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Grande;2872213
2025-09;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Médio;1306051
2025-09;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Pequeno;419220
2025-09;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Grande;13519895
2025-09;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Médio;791441
2025-09;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Pequeno;468903
2025-09;Médico-Hospitalar;AUTOGESTÃO;Grande;3005914
2025-09;Médico-Hospitalar;AUTOGESTÃO;Médio;951527
2025-09;Médico-Hospitalar;AUTOGESTÃO;Pequeno;595296
2025-09;Médico-Hospitalar;COOPERATIVA MÉDICA;Grande;13057256
2025-09;Médico-Hospitalar;COOPERATIVA MÉDICA;Médio;4768701
2025-09;Médico-Hospitalar;COOPERATIVA MÉDICA;Pequeno;1055685
2025-09;Médico-Hospitalar;FILANTROPIA;Grande;360997
2025-09;Médico-Hospitalar;FILANTROPIA;Médio;542123
2025-09;Médico-Hospitalar;FILANTROPIA;Pequeno;177088
2025-09;Médico-Hospitalar;MEDICINA DE GRUPO;Grande;16920687
2025-09;Médico-Hospitalar;MEDICINA DE GRUPO;Médio;3329054
2025-09;Médico-Hospitalar;MEDICINA DE GRUPO;Pequeno;938615
2025-09;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Grande;7071965
2025-09;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Médio;0
2025-09;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Pequeno;7317
2025-10;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Grande;2903178
2025-10;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Médio;1312257
2025-10;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Pequeno;420631
2025-10;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Grande;13511787
2025-10;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Médio;880424
2025-10;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Pequeno;478799
2025-10;Médico-Hospitalar;AUTOGESTÃO;Grande;2888328
2025-10;Médico-Hospitalar;AUTOGESTÃO;Médio;1015735
2025-10;Médico-Hospitalar;AUTOGESTÃO;Pequeno;614066
2025-10;Médico-Hospitalar;COOPERATIVA MÉDICA;Grande;13114187
2025-10;Médico-Hospitalar;COOPERATIVA MÉDICA;Médio;4649138
2025-10;Médico-Hospitalar;COOPERATIVA MÉDICA;Pequeno;1073720
2025-10;Médico-Hospitalar;FILANTROPIA;Grande;358616
2025-10;Médico-Hospitalar;FILANTROPIA;Médio;543934
2025-10;Médico-Hospitalar;FILANTROPIA;Pequeno;177817
2025-10;Médico-Hospitalar;MEDICINA DE GRUPO;Grande;17136713
2025-10;Médico-Hospitalar;MEDICINA DE GRUPO;Médio;3160567
2025-10;Médico-Hospitalar;MEDICINA DE GRUPO;Pequeno;958866
2025-10;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Grande;7118868
2025-10;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Médio;0
2025-10;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Pequeno;7285
2025-11;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Grande;2922882
2025-11;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Médio;1318401
2025-11;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Pequeno;420199
2025-11;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Grande;13616834
2025-11;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Médio;902091
2025-11;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Pequeno;459333
2025-11;Médico-Hospitalar;AUTOGESTÃO;Grande;2888293
2025-11;Médico-Hospitalar;AUTOGESTÃO;Médio;1024271
2025-11;Médico-Hospitalar;AUTOGESTÃO;Pequeno;613360
2025-11;Médico-Hospitalar;COOPERATIVA MÉDICA;Grande;12984482
2025-11;Médico-Hospitalar;COOPERATIVA MÉDICA;Médio;4737327
2025-11;Médico-Hospitalar;COOPERATIVA MÉDICA;Pequeno;1075803
2025-11;Médico-Hospitalar;FILANTROPIA;Grande;357695
2025-11;Médico-Hospitalar;FILANTROPIA;Médio;544870
2025-11;Médico-Hospitalar;FILANTROPIA;Pequeno;178567
2025-11;Médico-Hospitalar;MEDICINA DE GRUPO;Grande;17205622
2025-11;Médico-Hospitalar;MEDICINA DE GRUPO;Médio;3192609
2025-11;Médico-Hospitalar;MEDICINA DE GRUPO;Pequeno;920861
2025-11;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Grande;7217711
2025-11;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Médio;0
2025-11;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Pequeno;7250
2025-12;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Grande;2932710
2025-12;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Médio;1321173
2025-12;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Pequeno;420224
2025-12;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Grande;13602756
2025-12;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Médio;918195
2025-12;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Pequeno;459389
2025-12;Médico-Hospitalar;AUTOGESTÃO;Grande;2886720
2025-12;Médico-Hospitalar;AUTOGESTÃO;Médio;1022622
2025-12;Médico-Hospitalar;AUTOGESTÃO;Pequeno;609449
2025-12;Médico-Hospitalar;COOPERATIVA MÉDICA;Grande;12846831
2025-12;Médico-Hospitalar;COOPERATIVA MÉDICA;Médio;4824509
2025-12;Médico-Hospitalar;COOPERATIVA MÉDICA;Pequeno;1072126
2025-12;Médico-Hospitalar;FILANTROPIA;Grande;355670
